title,price,bed,bath,size,address
"In The Beautiful Neighborhood Of Block I, Bashundhara, A Spacious Apartment Of 4200 Sq Ft Is Up For Sale",50400000,4,4,"4,200","Block I, Bashundhara R-A, Dhaka"
"4200 Sq Ft Flat With Updated Residential Features Is Up For Sale In Bashundhara, Block I",50400000,4,4,"4,200","Block I, Bashundhara R-A, Dhaka"
"To Lead A Peaceful Life, Buy This Large 4200 Sq Ft Apartment In Bashundhara, Block I",50400000,4,4,"4,200","Block I, Bashundhara R-A, Dhaka"
Buy This 3044 Square Feet Apartment In Gulshan 2,50000000,3,3,"3,044","Gulshan 2, Gulshan, Dhaka"
2350 Sq Ft Apartment Is Up For Sale In Gulshan 1,50000000,3,3,"2,350","Gulshan 1, Gulshan, Dhaka"
Buy This 2950 Square Feet Flat In The Elegant Location Of Gulshan 1,50000000,4,4,"2,950","Gulshan 1, Gulshan, Dhaka"
"An Apartment Is Up For Sale In Dhanmondi , Near Sunnydale.",50000000,4,4,"3,229","Dhanmondi, Dhaka"
2650 Square Feet Flat Is Ready For Sale In Baridhara Dohs,50000000,5,4,"2,650","Baridhara DOHS, Dhaka"
3300 Sq Ft Residential Apartment For Sale In Dhanmondi,49500000,3,3,"3,300","Dhanmondi, Dhaka"
"3756 Square Feet Amazing Flat Is For Sale In Mohammadpur, Mirpur Road",49500000,4,4,"3,756","Mohammadpur, Dhaka"
"This 2600 Sq Ft Apartment Comes With Peaceful Living In Dhanmondi Next To Scholars' School & College, Is Up For Sale.",49500000,4,4,"2,600","Dhanmondi, Dhaka"
2266 Sq Ft Spacious Apartment For Sale In Dhanmondi,49000000,3,3,"2,266","Dhanmondi, Dhaka"
Buy This 2266 Sq Ft Apartment In Dhanmondi,49000000,3,3,"2,266","Dhanmondi, Dhaka"
See This Amazing Apartment Which Is Up For Sale In Gulshan 2 Near Agora,48000000,3,4,"2,400","Gulshan 2, Gulshan, Dhaka"
Well Planned 2260 Square Feet Apartment For Sale In Niketan,48000000,4,4,"2,260","Block C, Niketan, Dhaka"
"2660 Square Feet Apartment For Sale In Niketan, Block C",48000000,4,4,"2,660","Block C, Niketan, Dhaka"
"2660 Sq Ft 4 Bed Apt. Is Available For Sale In Niketan, Dhaka",48000000,4,4,"2,660","Block C, Niketan, Dhaka"
"2660 Square Feet Apartment For Sale In Niketan, Block C",48000000,4,4,"2,660","Block C, Niketan, Dhaka"
"An Apartment Is Ready For Sale At Banani DOHS, Near Banani Dohs Jame Mosjid.",47000000,3,4,"2,550","Banani DOHS, Dhaka"
Magnificent Apartment Is Ready For Sale In Gulshan-1 Nearby National Institute Of Diseases Of The Chest And Hospital,47000000,4,4,"2,888","Gulshan 1, Gulshan, Dhaka"
Bashundhara Is Offering You A 3261 Square Feet Flat Available For Sale,47000000,4,4,"3,261","Block B, Bashundhara R-A, Dhaka"
Contact Us To Buy 2888 Sq Ft Home Which Is Now Available In Gulshan 1 For Sale,47000000,4,4,"2,888","Gulshan 1, Gulshan, Dhaka"
2888 Square Feet Flat With 4 Bedrooms Is Ready For Sale In Gulshan 1,47000000,4,4,"2,888","Gulshan 1, Gulshan, Dhaka"
Get A Look At This Flat For Sale Featuring 2600 Sq Ft In Banani,46800000,4,5,"2,600","Banani, Dhaka"
Look At This 2600 Sq Ft Flat Is Up For Sale At Banani,46800000,4,5,"2,600","Banani, Dhaka"
2800 Square Feet Flat For Sale In A High-toned Locality Of Mohakhali Dohs,46200000,4,3,"2,800","Mohakhali DOHS, Dhaka"
Sophisticated 2545 Sq Ft Flat For Sale In Banani,45800000,3,3,"2,545","Banani, Dhaka"
Sophisticated 2545 Sq Ft Flat For Sale In Banani,45800000,3,3,"2,545","Banani, Dhaka"
"Visit This 2765 Square Feet Flat Of Abundant Spacing, Ready For Sale In Gulshan 1",45600000,3,4,"2,765","Gulshan 1, Gulshan, Dhaka"
Luxurious 3 Bed Room | Amazing View | Ready For Sale,45600000,3,4,"2,765","Gulshan 1, Gulshan, Dhaka"
Reside Conveniently In This Well Constructed 2688 Sq Ft Flat For Sale In Banani,45000000,3,3,"2,688","Banani, Dhaka"
"Get Comfortable In A Nice Flat For Sale In Gulshan 1, Nearby Lakehead Grammar School",45000000,3,3,"3,000","Gulshan 1, Gulshan, Dhaka"
Buy This 2282 Square Feet Flat For An Elegant Lifestyle In Gulshan 2,45000000,3,3,"2,282","Gulshan 2, Gulshan, Dhaka"
"2850 Square Feet Apartment For Sale In Niketan, Block D",45000000,3,4,"2,850","Block C, Niketan, Dhaka"
There's A Well Designed 2850 Sq Ft Flat For Sale In Niketan,45000000,3,4,"2,850","Block C, Niketan, Dhaka"
A 2850 Sq Ft Residence In Niketan Is Presently Available For Sale.,45000000,3,4,"2,850","Block C, Niketan, Dhaka"
3 Bed Apartment For Sale In Niketan With All Facilities | 2850 Sq Ft,45000000,3,4,"2,850","Block C, Niketan, Dhaka"
2850 Sq Ft Apartment For Sale In Niketan With All Facilities,45000000,3,4,"2,850","Block C, Niketan, Dhaka"
"Buy A Lovely Home Of 3160 Square Feet In Baridhara, Block K",45000000,3,3,"3,160","Block K, Baridhara, Dhaka"
"At Banani , This 2400 Sq Ft -3 Bedroom Nice Flat Is Up For Sale Within Your Affordability.",45000000,3,3,"2,400","Banani, Dhaka"
Available Residential Apartment Of 2700 Square Feet At Gulshan 2 Is Up For Sale.,45000000,3,3,"2,700","Gulshan 2, Gulshan, Dhaka"
Grab This Attractive 2600 Sq Ft Apartment For Sale In Dhanmondi,45000000,3,4,"2,600","Dhanmondi, Dhaka"
2255 Sq Ft Flat For sale In Mirpur Dohs Near Government City College Jame Masjid,45000000,3,3,"2,255","Avenue 2, Mirpur DOHS, Mirpur, Dhaka"
2500 Sq Ft Ready Apartment For Sale In Gulshan 2,45000000,3,3,"2,500","Gulshan 2, Gulshan, Dhaka"
2570 Sq Ft Apartment For Sale Is All Set For You To Settle In Gulshan Close To Royal Park Residence Hotel.,45000000,4,5,"2,570","Gulshan 2, Gulshan, Dhaka"
Buy This 2900 Sq Ft Modern Flat In Dhanmondi,45000000,4,4,"2,900","Dhanmondi, Dhaka"
Spaciously Designed This Apartment Is Now up For Sale In Bashundhara R-a,45000000,4,4,"3,500","Block C, Bashundhara R-A, Dhaka"
"In Uttara, Live Comfortably In An Apartment For Sale Which Is A 4080 Sq Ft Apartment, Near Rak Tower",45000000,4,4,"4,080","Sector 7, Uttara, Dhaka"
Meet With A Fascinating 2650 Sq Ft Ready Flat For Sale In Gulshan 2,45000000,4,4,"2,650","Gulshan 2, Gulshan, Dhaka"
"Buy This Nice Flat Of 2700 Sq Ft, Which Is Located At Mohakhali Dohs",45000000,4,4,"2,700","Mohakhali DOHS, Dhaka"
This 3100 Sq Feet Flat Assures To Provide You With Better Homely Affairs At Gulshan 1 Close To Singapore School Kinderland Is Up To Sale,45000000,4,3,"3,100","Gulshan 1, Gulshan, Dhaka"
Ready convenient flat of 2461 SQ FT is up for sale in Uttara 5,45000000,4,4,"2,461","Sector 5, Uttara, Dhaka"
2553 Square Feet Flat Is Ready For Sale In The Great Location Of Banani,44000000,3,3,"2,553","Banani, Dhaka"
2697 Square Feet Spacious Flat Is Ready For Sale In Banani,44000000,3,3,"2,697","Banani, Dhaka"
2972 Square Feet Flat Is Ready For Sale In Gulshan 2,44000000,3,4,"2,972","Gulshan 2, Gulshan, Dhaka"
Buy This Spacious 3400 Square Feet Apartment In Baridhara,44000000,4,4,"3,400","Baridhara, Dhaka"
3700 Sq Ft Spacious Apartment For Sale In Uttara Nearby Uttara Adhunik Medical College Hospital,44000000,5,5,"3,700","Sector 9, Uttara, Dhaka"
2429 Sq Ft Nicely Planned Apartment Is Available For Sale In Dhanmondi,43500000,2,3,"2,429","Dhanmondi, Dhaka"
Here Is A Well Defined Flat Of 2429 Sq Ft Waiting For Sale At Dhanmondi,43500000,3,3,"2,429","Dhanmondi, Dhaka"
An Opportunity Awaits: 2700 Sq Ft Convenient Apartment For Sale In Baridhara Dohs,43500000,4,4,"2,700","Baridhara DOHS, Dhaka"
"3300 Sq Ft Flat For Sale In Lalmatia, With Good Home Facilities",43000000,3,4,"3,300","Block G, Lalmatia, Dhaka"
"Make This 2610 Sq Ft Flat Your Next Residing Location, Which Is Up For Sale In Dhanmondi Near Meena Bazar",42500000,3,3,"2,610","Dhanmondi, Dhaka"
3 Bedroom Flat For Sale In Banani,42000000,3,4,"2,675","Banani, Dhaka"
"Ready Flat 3420 Sq Ft Is Now For Sale In Uttara, Sector 12",42000000,4,4,"3,420","Sector 12, Uttara, Dhaka"
Offering You 2982 Sq Ft Flat For Sale In Niketan,42000000,4,4,"2,982","Block E, Niketan, Dhaka"
Grand 3910 Square Feet Apartment Available For Sale In Bashundhara,42000000,5,5,"3,910","Block I, Bashundhara R-A, Dhaka"
Take A Look At This 2200 Sq Ft Residential Apartment For Sale In Dhanmondi,41800000,3,4,"2,200","Dhanmondi, Dhaka"
Dhanmondi Is Offering You A 2200 Sq Ft Residential Apartment For Sale,41800000,3,4,"2,200","Dhanmondi, Dhaka"
2210 Sq Ft Apartment For Sale In The Nice Location Of Dhanmondi,41500000,3,4,"2,210","Dhanmondi, Dhaka"
Grab This 2210 Sq Ft Beautiful Flat Is Vacant For Sale In Dhanmondi,41500000,3,4,"2,210","Dhanmondi, Dhaka"
"Let Us Give You A Good Home! A 2160 Sq Ft Flat For Sale In Block C, Bashundhara R-a",41500000,4,4,"2,160","Block C, Bashundhara R-A, Dhaka"
"Look At This Nice 2300 Sq Ft Flat Is Up For Sale At Niketan, Block F",41400000,4,4,"2,300","Block F, Niketan, Dhaka"
"You can buy this lovely apartment of 2300 sq ft to live a relaxed life at Niketan, Block F",41400000,4,4,"2,300","Block F, Niketan, Dhaka"
Live In Excellence – 2700 Sq Ft Flat For Sale In Gulshan,41200000,3,4,"2,700","Gulshan 1, Gulshan, Dhaka"
Spaciously Designed And Strongly Structured This 3648 Sq. Ft Apartment Is Now Vacant For Sale In Banani Next To Banani Police Station.,41000000,3,4,"3,648","Banani, Dhaka"
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,40000000,3,4,"1,960","Gulshan 1, Gulshan, Dhaka"
Invest In Your Dream Home: 2345 Sq Ft Modern Apartment In Prime Banani,40000000,3,3,"2,345","Banani, Dhaka"
2600 Square Feet Flat Is Ready For Sale In Gulshan 1,40000000,3,4,"2,600","Gulshan 1, Gulshan, Dhaka"
Remarkable Flat Is Up For Sale In Banani Nearby Banani Bidyaniketan School & College,40000000,4,5,"2,450","Banani, Dhaka"
Grab This 2700 Square Feet Apartment For Sale In Gulshan 1,39500000,4,4,"2,700","Gulshan 1, Gulshan, Dhaka"
"2187 Square Feet Apartment For Sale In Mohammadpur, Iqbal Road",39400000,4,4,"2,187","Mohammadpur, Dhaka"
"2187 Square Feet Modest Apartment For Sale In Mohammadpur, Iqbal Road",39400000,4,4,"2,187","Mohammadpur, Dhaka"
Impressive Apartment Of 2900 Sq Ft Is Up For Sale In Gulshan 1,39000000,3,4,"2,900","Gulshan 1, Gulshan, Dhaka"
"In The Location Of Banani, Close To Banani Bidyaniketan School & College, A Flat Is Up For Sale",39000000,3,3,"3,021","Banani, Dhaka"
Elegant Flat For Sale In Banani Dohs Nearby Banani Dohs Jame Msojid,39000000,3,4,"2,576","Banani DOHS, Dhaka"
"2750 Square Feet Spacious Flat Is Ready For Sale In Baridhara, Block K",39000000,4,3,"2,750","Block K, Baridhara, Dhaka"
Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara- 4,39000000,4,4,"3,355","Shayesta Khan Ave, Sector 4, Uttara, Dhaka"
"Worthy 3355 Sq Ft Residential Apartment Is For Sale At Uttara, Sector 4",39000000,4,4,"3,355","Shayesta Khan Ave, Sector 4, Uttara, Dhaka"
"This 3355 Sq Ft Residential Apartment Which Is Up For Sale At Uttara, Sector 4",39000000,4,4,"3,355","Shayesta Khan Ave, Sector 4, Uttara, Dhaka"
Property In Uttara 4 – 3355 Sq Ft Flat Is For Sale.,39000000,4,4,"3,355","Shayesta Khan Ave, Sector 4, Uttara, Dhaka"
"Take A Look At This 3355 Sq Ft Residential Apartment For Sale At Uttara, Sector 4",39000000,4,4,"3,355","Shayesta Khan Ave, Sector 4, Uttara, Dhaka"
2500 Sq Ft Amazing Apartment Is Ready To Sale In Dhanmondi,38900000,4,5,"2,500","Dhanmondi, Dhaka"
"A Ready Flat Is Available For Sale At Gulshan 2, Nearby Embassy Of Italy",38000000,3,4,"1,800","Gulshan 2, Gulshan, Dhaka"
Get Comfortable In A 2298 Sq Ft Flat For Sale In Dhanmondi Nearby Dhaka Public School,38000000,3,4,"2,298","Dhanmondi, Dhaka"
A nice residential flat of 2250 SQ FT for Sale can be found in Gulshan 2 nearby Embassy of North Korea,38000000,3,3,"2,250","Gulshan 2, Gulshan, Dhaka"
Get Beautiful Sights From This 2436 Square Feet Flat Ready For Sale In Banani,38000000,3,3,"2,436","Banani, Dhaka"
"At Gulshan 1, A Marvelous 3350 Sq Ft Apartment Is Up For Sale Close To Standard Chartered Bank",38000000,4,4,"3,350","Gulshan 1, Gulshan, Dhaka"
Modest 2200 Square Feet Apartment For Sale In Banani,37000000,3,4,"2,200","Banani, Dhaka"
2900 Sq Ft Standard Flat For Sale In Uttara-3,37000000,4,5,"2,900","Sector 3, Uttara, Dhaka"
3000 SQ FT residential apartment is prepared to be sold in Uttara.,37000000,4,4,"3,000","Sector 13, Uttara, Dhaka"
Tastefully Designed This 2468 Sq Ft Flat Is Now Vacant For Sale In Banani,36500000,3,3,"2,468","Banani, Dhaka"
Well Organized Flat Of 1450 Sq Ft Is Now Vacant For Sale In Baridhara DOHS,36000000,3,3,"1,450","Baridhara DOHS, Dhaka"
Lovely Apartment Of 1450 Sq Ft 3 Bedroom Is Up For Sale In Baridhara Dohs,36000000,3,3,"1,450","Baridhara DOHS, Dhaka"
"2200 Sq Ft Nicely Prepared Flat Is Available For Sale In Banani, Road No 27",36000000,4,4,"2,200","Banani, Dhaka"
Elegant Flat For Sale In Bashundhara Nearby Sunflower School And College,36000000,5,5,"3,650","Block C, Bashundhara R-A, Dhaka"
"This Bright And Spacious 2912 Sq. Ft Home Located In Bashundhara R-A, Block C Is Ready To Welcome Its New Owner.",35000000,3,4,"2,912","Block C, Bashundhara R-A, Dhaka"
A Luxuriously Spacious 2700 SQ FT Apartment Is Up For Sale In Gulshan 2 Near To Gulshan Central Masjid,35000000,3,3,"2,700","Gulshan 2, Gulshan, Dhaka"
Offering You A Very Specious 2690 Sq Ft Flat For Sale In Banani Near To Adamjee Cantonment College,35000000,3,3,"2,690","Banani, Dhaka"
Ready flat 2240 SQ FT is now for sale in Uttara 4,35000000,3,4,"2,240","Sector 4, Uttara, Dhaka"
2400 Sq Ft Flat For Sale In Banani Close To Banani Thana,35000000,3,4,"2,400","Banani, Dhaka"
A Vibrant 2464 Sq Ft Residential Flat For Sale In Shukrabad,35000000,3,4,"2,464","Dhanmondi, Dhaka"
"Beautifully Designed Lake Front Apartment For Sale In Gulshan 2, Near Manarat International University",35000000,3,4,"2,388","Gulshan 2, Gulshan, Dhaka"
Obtain Your New Residence At This Flat Up For Sale At Banani Nearby Bangladesh Road Transport Authority,35000000,3,3,"2,617","Banani, Dhaka"
"A rightly planned Banani 2550 SQ FT residence is found for sale in Banani , near Banani Bidyaniketan School & College",35000000,3,3,"2,550","Banani, Dhaka"
2900 Sq Ft flat Available For Sale In Bashundhara R-A,35000000,4,4,"2,900","Block I, Bashundhara R-A, Dhaka"
"Own Your 3190 Sq Ft Residential Space For Sale, Located At Block B, Bashundhara R/A",35000000,4,6,"3,190","Road No 6, Block B, Bashundhara R-A, Dhaka"
Beautiful And Well-constructed 2350 Sq Ft Flat Is Ready To Sale At Mirpur DOHS,35000000,4,4,"2,350","Avenue 3, Mirpur DOHS, Mirpur, Dhaka"
"Start A New Home, In This 2900 Sq Ft Flat For Sale In Bashundhara R/A Block C, Near Independent University, Bangladesh",35000000,4,5,"2,900","Block C, Bashundhara R-A, Dhaka"
"3000 Square Feet Flat Is Ready For Sale In Niketan, Block C",35000000,4,4,"3,000","Block C, Niketan, Dhaka"
Spectacular Flat of 2810 SFT Available For sale in Bashundhara,34000000,4,4,"2,810","Block I, Bashundhara R-A, Dhaka"
